IP1;IP2;IP3;IP4
3;3,73;3,75;3,65
2,19;3,47;3,29;3,62
2,23;2,94;3,1;3,25
1,85;2,8;3,57;3,37
2,42;3,16;3,41;3,52
1,57;2,4;3,29;3,37
2,28;3,16;3,29;3,37
1,8;3;3,04;3,25
2,42;3,64;3,5;3,5
2,33;4;3,75;4
2,38;3,64;3,75;3,75
2,47;4;3,66;3,75
3,09;4;3,87;3,87
1,9;3,6;3,41;3,37
2,28;3,64;3,41;3,47
3,52;3,6;3,79;3,65
2,47;3,47;3,54;3,37
2,66;3,4;3,45;3,52
2,33;3,64;3,25;3,37
3;4;3,79;4
3;3,73;3,79;3,73
2,42;2,66;3,15;3,32
2,09;2,33;2,94;2,98
2,42;2,5;3,05;3,06
3,52;3,52;3,63;3,56
2,38;2,83;2,8;3,17
2,38;2,66;0;0
2;2,66;3,3;3,45
3,04;2,47;3,35;3,41
3,38;3,39;3,5;3,27
3,42;3,26;3,31;3,48
3;2,95;3,55;3,09
2,8;3,15;3,26;3,4
2,61;2,75;3,1;3,15
3,04;3,65;4;3,76
2,61;3;3,47;3,36
3,38;3,69;0;0
3,57;3,73;4;3,89
3,28;2,86;3,36;3,46
0,38;0;0;0
3,61;3,91;0;0
2,85;3;3,21;3,09
2,38;0;0;0
0,42;0;0;0
3,14;3,39;3,5;3,5
2,66;2,55;2,95;3,16
3,09;3,52;3,63;3,81
2,66;3,1;3,18;2,96
2,95;2,45;3;3,02
1,95;3,42;3,1;3,02
3,57;3,6;3,9;3,72
2,38;2,83;3,25;3,24
2,76;3;0;0
3,04;3,13;3,35;3,41
2,57;2,56;3,09;3,34
3,23;3,13;3,45;3,37
2,76;3;3,25;3,3
2,57;2,7;3,06;3,21
3,14;3,02;3,35;3,37
3,09;3,03;3,42;3,67
2,57;3,27;3,33;3,12
3,09;2,96;3,47;3,52
2,95;3,21;3,36;3,47
2,66;3,08;3,31;3,08
2,28;2,66;3,01;2,91
3,14;3,33;3,35;3,26
2;1,23;0;0
3,14;2,94;3,22;3,33
3;3,24;3,41;3,45
3,14;3,27;3,61;3,3
3,14;3,06;3,51;3,25
2,61;2,88;3,79;3,33
2,47;2,76;3,3;3,21
2,71;3,25;3,44;3,34
2,52;3,18;3,35;3,26
3,52;3,27;3,87;3,6
3,28;3,13;3,48;3,36
3;3,18;3,12;3,2
3,19;2,86;3,02;3,07
3,42;3,12;3,68;3,5
3,19;2,97;3,19;3,1
2,52;3,28;3,22;3,28
2,9;2,77;3,34;3,26
3,14;2,9;3,37;3,17
3,61;3,39;3,64;3,52
2,9;2,85;2,98;3,07
3,14;3,1;3,25;3,34
2,61;2,94;3,26;3,11
3,23;3,31;3,35;3,52
3,42;3,38;3,89;3,6
2,52;3,16;3,3;3,38
2,04;2,55;0,1;0
2,95;3,06;3,56;3,3
3,04;3,61;3,25;3,25
3,18;3,49;3,71;3,31
3,13;3,2;3,64;3,52
3,44;3;3,55;3,26
2,85;3,26;3,42;3,35
3,3;3,23;3,71;3,29
3,24;3;3,26;2,45
2,96;3,22;3,39;2,7
2,65;3,07;3,37;2,87
3,01;3,13;3,6;3,13
3,3;3,13;3,66;3,65
3,22;3,28;3,66;3,54
3,22;0;0;0
3,4;3,33;3,57;3,47
0;0;0;0
3,05;3,32;3,58;2,97
3,16;3,32;3,5;3,11
2,65;3,11;3,27;2,66
2,92;3,01;3,35;2,6
3,32;3,49;3,66;3,44
2,57;3,01;3,23;2,96
3,24;3,5;3,66;3,52
2,74;2,87;3,38;2,44
3,05;3,23;3,54;3,13
2,91;3,5;3,56;3,23
2,43;2,71;3,36;3,05
2,73;2,92;3,4;2,55
2,12;0;0;0
2,83;2,32;2,55;3,13
0,19;0;0;0
3;2,96;3,15;2,28
3,55;1,49;0;0
2,61;2,63;3,01;3,03
3,16;3,4;3,68;3,46
2,72;2,57;3,36;2,9
2,83;2,96;3,63;3,09
2,78;0,37;0;0
2,69;2,72;3,05;3,07
2,43;2,55;3,05;2,85
2,7;2,9;3,28;2,86
2,95;2,77;3,19;2,84
2,23;0,43;3,6;1,09
2,27;2,9;0;0
3,04;2,93;2,56;3,38
3,38;3,49;3,18;3,42
3,01;3,11;2,5;3,4
2,94;3,07;2,24;3,54
