semester1,semester2,semester3,semester4,semester5
2.76,3.00,0,0,0
2.38,2.83,3.25,3.24,3.36
3.57,3.60,3.90,3.72,3.66
1.95,3.42,3.10,3.02,3.12
2.95,2.45,3.00,3.02,3.50
2.66,3.10,3.18,2.96,3.46
3.09,3.52,3.63,3.81,3.46
2.66,2.55,2.95,3.16,2.94
3.14,3.39,3.50,3.50,3.62
0.42,0,0,0,0
2.38,0,0,0,0
2.85,3.00,3.21,3.09,3.10
3.61,3.91,0,0,0
0.38,0,0,0,0
3.28,2.86,3.36,3.46,3.59
3.57,3.73,4.00,3.89,3.92
3.38,3.69,0,0,0
2.61,3.00,3.47,3.36,3.60
3.04,3.65,4.00,3.76,3.75
2.61,2.75,3.10,3.15,3.42
2.80,3.15,3.26,3.40,3.63
3.00,2.95,3.55,3.09,3.41
3.42,3.26,3.31,3.48,3.71
3.38,3.39,3.50,3.27,3.67
3.04,2.47,3.35,3.41,3.54
2.00,2.66,3.30,3.45,3.17
2.38,2.66,0,0,0
2.38,2.83,2.80,3.17,3.05
3.52,3.52,3.63,3.56,3.66
2.42,2.50,3.05,3.06,3.37
2.09,2.33,2.94,2.98,3.34
2.42,2.66,3.15,3.32,3.30
2.27,2.90,0,0,0
2.23,3,43,3.60,1.09,0
2.95,2.77,3.19,2.84,1.95
2.70,2.90,3.28,2.86,2.58
2.43,2.55,3.05,2.85,2.56
2.69,2.72,3.05,3.07,2.75
2.78,.37,0,0,0
2.83,2.96,3.63,3.09,2.48
2.72,2.57,3.36,2.90,2.11
3.16,3.40,3.68,3.46,3.46
2.61,2.63,3.01,3.03,2.37
3.55,1.49,0,0,0
3.00,2.96,3.15,2.28,2.11
0.19,0,0,0,0
2.83,2.32,2.55,3.13,1.49
2.12,0,0,0,0
2.73,2.92,3.40,2.55,2.86
2.43,2.71,3.36,3.05,2.50
2.91,3.50,3.56,3.23,3.26
3.05,3.23,3.54,3.13,2.87
2.74,2.87,3.38,2.44,2.45
3.24,3.50,3.66,3.52,3.42
2.57,3.01,3.23,2.96,2.42
3.32,3.49,3.66,3.44,3.50
2.92,3.01,3.35,2.60,3.11
2.65,3.11,3.27,2.66,2.36
3.16,3.32,3.50,3.11,3.55
3.05,3.32,3.58,2.97,2.66
0,0,0,0,0
3.40,3.33,3.57,3.47,3.33
3.22,0,0,0,0
3.22,3.28,3.66,3.54,3.17
3.30,3.13,3.66,3.65,3.35
3.01,3.13,3.60,3.13,3.42
2.65,3.07,3.37,2.87,2.95
2.96,3.22,3.39,2.70,2.93
3.24,3.00,3.26,2.45,2.66
3.30,3.23,3.71,3.29,3.14
2.85,3.26,3.42,3.35,3.28
3.44,3.00,3.55,3.26,2.96
