semester1,semester2,semester3,semester4,semester5,semester6,semester7,semester8
3,3.73,3.75,3.65,3.62,3.05,2.03,0
2.19,3.47,3.29,3.62,3.78,3.38,3.12,3.7
2.23,2.94,3.1,3.25,3.52,3.22,3.15,2.3
1.85,2.8,3.57,3.37,4,3.09,3.32,3.75
2.42,3.16,3.41,3.52,3.5,3.09,2.4,3.7
1.57,2.4,3.29,3.37,3.47,3.09,3.15,2.38
2.28,3.16,3.29,3.37,3.6,3.04,2.98,1.33
1.8,3,3.04,3.25,3.39,3.03,3.2,2.19
2.42,3.64,3.5,3.5,3.34,3.42,3.31,1.33
2.33,4,3.75,4,4,3.41,2.38,3.7
2.38,3.64,3.75,3.75,3.78,3.24,2.42,1.23
2.47,4,3.66,3.75,3.78,3.37,3.02,3.9
3.09,4,3.87,3.87,3.78,3.28,2.31,3.9
1.9,3.6,3.41,3.37,3.65,3.24,3.14,1.82
2.28,3.64,3.41,3.47,3.75,3.29,3.01,1.23
3.52,3.6,3.79,3.65,3.87,3.09,2.08,1.23
3,4,3.79,4,3.87,3.21,3.86,
3,3.73,3.79,3.73,3.75,3.31,3.95,
2.47,3.47,3.54,3.37,3.39,3.26,2.52,1.23
2.66,3.4,3.45,3.52,3.87,3.2,2.42,3.9
2.33,3.64,3.25,3.37,3.52,3.19,3.01,1.33
2.42,2.66,3.15,3.32,3.3,3.35,3.34,2.15
2.09,2.33,2.94,2.98,3.34,3.55,2.83,0.92
2.42,2.5,3.05,3.06,3.37,3.34,2.53,0.76
3.52,3.52,3.63,3.56,3.66,3.35,2.85,1.23
2.38,2.83,2.8,3.17,3.05,2.87,2.81,0.82
2,2.66,3.3,3.45,3.17,2.96,2.66,1
3.04,2.47,3.35,3.41,3.54,3.4,3.29,1.23
3.38,3.39,3.5,3.27,3.67,3.43,2.74,1.23
3.42,3.26,3.31,3.48,3.71,3.31,1.9,0
3,2.95,3.55,3.09,3.41,3.11,3.08,0
2.8,3.15,3.26,3.4,3.63,3.09,2.26,1.23
2.61,2.75,3.1,3.15,3.42,2.97,3.33,0
3.04,3.65,4,3.76,3.75,3.3,2.88,0
2.61,3,3.47,3.36,3.6,3.06,2.21,0
3.57,3.73,4,3.89,3.92,3.44,2.1,1.33
3.28,2.86,3.36,3.46,3.59,3.31,3.21,0
2.85,3,3.21,3.09,3.1,2.75,2.76,1.5
3.14,3.39,3.5,3.5,3.62,3.07,2.88,0
2.66,2.55,2.95,3.16,2.94,3.24,3.1,0.66
3.09,3.52,3.63,3.81,3.46,3.09,3.09,0
2.66,3.1,3.18,2.96,3.46,3.09,2.72,0.82
2.95,2.45,3,3.02,3.5,3.26,3.12,0
1.95,3.42,3.1,3.02,3.12,2.83,3.08,0.92
3.57,3.6,3.9,3.72,3.66,3.22,2.85,1.33
2.38,2.83,3.25,3.24,3.36,3.29,3.47,1.23
3.04,3.13,3.35,3.41,3.32,2.91,2.71,1.1
2.57,2.56,3.09,3.34,2.78,3.01,2.7,1.65
3.23,3.13,3.45,3.37,3.17,3.25,2.61,0
2.76,3,3.25,3.3,3.1,2.94,2.88,1.1
2.57,2.7,3.06,3.21,2.78,2.91,3,1.5
3.14,3.02,3.35,3.37,3.28,3.06,2.77,1.1
3.09,3.03,3.42,3.67,3.55,3.1,2.83,0
2.57,3.27,3.33,3.12,3.09,2.97,3.03,0
3.09,2.96,3.47,3.52,3.37,3.21,3.2,0
2.95,3.21,3.36,3.47,3.19,2.91,3.03,1.1
2.66,3.08,3.31,3.08,2.9,2.95,2.86,1.1
2.28,2.66,3.01,2.91,2.73,2.61,2.75,2.15
3.14,3.33,3.35,3.26,3.28,3.15,2.77,1.23
3.14,2.94,3.22,3.33,3.19,2.7,2.31,0
3,3.24,3.41,3.45,3.51,3.21,2.87,1.1
3.14,3.27,3.61,3.3,3.33,3.36,2.7,0
3.14,3.06,3.51,3.25,3.22,3.16,2.11,0.81
2.61,2.88,3.79,3.33,3.12,2.95,3.32,0
2.47,2.76,3.3,3.21,3.18,2.83,3.05,1.1
2.71,3.25,3.44,3.34,3.06,3,1.83,1.28
2.52,3.18,3.35,3.26,3.1,2.76,1.91,0
3.52,3.27,3.87,3.6,3.58,3.25,2.31,1.33
3.28,3.13,3.48,3.36,3.25,2.61,1.22,1.28
3,3.18,3.12,3.2,3.38,2.95,2.61,1.1
3.19,2.86,3.02,3.07,3.3,2.67,2.64,1.4
3.42,3.12,3.68,3.5,3.51,2.91,2.4,4
3.19,2.97,3.19,3.1,3.3,2.56,2.29,0.7
2.52,3.28,3.22,3.28,3.2,3,2.92,0
2.9,2.77,3.34,3.26,3.24,2.74,1.48,1.51
3.14,2.9,3.37,3.17,2.9,3.16,2.98,1.1
3.61,3.39,3.64,3.52,3.58,3.21,2.83,0
2.9,2.85,2.98,3.07,2.95,3,2.93,0.66
3.14,3.1,3.25,3.34,3.46,3,2.64,0.76
2.61,2.94,3.26,3.11,3.05,2.89,2.77,0.81
3.23,3.31,3.35,3.52,3.55,3.1,2.81,0.76
3.42,3.38,3.89,3.6,3.46,3.19,3.08,0
2.52,3.16,3.3,3.38,3.36,3.16,3.16,1.1
2.04,2.55,0.1,0,0,0,0,0
2.95,3.06,3.56,3.3,2.94,2.89,2.72,1.23
3.04,3.61,3.25,3.25,3.55,3,2.87,0.76
3.18,3.49,3.71,3.31,3.5,3.55,2.76,0
3.13,3.2,3.64,3.52,3.42,3.3,2.83,0
3.44,3,3.55,3.26,2.96,3.07,2.64,0
2.85,3.26,3.42,3.35,3.28,3.31,2.63,1.23
3.3,3.23,3.71,3.29,3.14,3.42,2.78,1.33
3.24,3,3.26,2.45,2.66,3.12,2.63,3.27
2.96,3.22,3.39,2.7,2.93,3.18,2.75,1.74
2.65,3.07,3.37,2.87,2.95,3,1.93,0
3.01,3.13,3.6,3.13,3.42,3.4,2.61,0
3.3,3.13,3.66,3.65,3.35,3.49,2.77,0
3.22,3.28,3.66,3.54,3.17,3.37,2.77,0
3.4,3.33,3.57,3.47,3.33,3.21,2.66,0
3.05,3.32,3.58,2.97,2.66,2.63,2.41,1.75
3.16,3.32,3.5,3.11,3.55,3.28,2.75,0
